WKT,name,description
"LINESTRING (-97.1699376 34.6499366, -97.1697874 34.6499642, -97.169778 34.6498782, -97.1697338 34.6496774, -97.1696613 34.6493177, -97.1689224 34.649417, -97.1681191 34.649492, -97.1677623 34.6495417, -97.1671521 34.6496344, -97.166499 34.6497237, -97.1658365 34.6498009, -97.1653832 34.6498649, -97.1646939 34.64994, -97.1641373 34.6500172, -97.1628928 34.6501761, -97.1621418 34.6502753, -97.1616603 34.650325, -97.1603809 34.6505004, -97.1597077 34.650592, -97.1591095 34.6506615, -97.1588131 34.6507045, -97.1583572 34.6507586, -97.1582392 34.650646, -97.1578395 34.6506924, -97.1565923 34.6508534, -97.1560263 34.6509373, -97.1558024 34.6509902, -97.155793 34.6505192, -97.1558037 34.6502941, -97.1557903 34.6496686, -97.1557997 34.6494391, -97.1558198 34.6488908, -97.1557849 34.6481383, -97.1557648 34.6479453, -97.1557595 34.6471984, -97.1557715 34.6469854, -97.1557648 34.6467482, -97.1557782 34.6464481, -97.1557595 34.6462087, -97.1557581 34.6457001, -97.1557782 34.6452819, -97.155742 34.644781, -97.1557514 34.6441775, -97.1557541 34.6437075, -97.1557326 34.6434184, -97.1557313 34.6432982, -97.1555717 34.6433004, -97.1549038 34.6432982, -97.1542413 34.6432993, -97.1535654 34.6433026, -97.1532811 34.6433037, -97.1530075 34.6433114, -97.1525019 34.6433247)",Line 3,
"LINESTRING (-97.1662782 34.6485435, -97.1663507 34.6490675, -97.1664351 34.6494746, -97.1664888 34.6497262, -97.1665612 34.6500935, -97.1666175 34.6504179, -97.1666859 34.6507378, -97.1667583 34.6511813, -97.1668455 34.6516579, -97.1670762 34.6517561, -97.1675644 34.65168, -97.167622 34.6519426, -97.1675858 34.6525284)",Line 5,
"LINESTRING (-97.1668455 34.6516579, -97.1662675 34.6517285, -97.1657391 34.6517925, -97.1651316 34.6518367, -97.1647936 34.6518918, -97.1643269 34.651947, -97.1638146 34.6520308, -97.163254 34.6520893, -97.1630167 34.6521367, -97.1627484 34.6521787, -97.1622442 34.6522404, -97.1618338 34.6522967)",Line 6,
"LINESTRING (-97.1662767 34.6517297, -97.1663183 34.6518819, -97.1663988 34.6523188, -97.1664819 34.652887)",Line 7,
"LINESTRING (-97.1651653 34.6518323, -97.1646583 34.6521379)",Line 8,
"LINESTRING (-97.1636847 34.6513667, -97.1638146 34.6520308, -97.1638939 34.6524567, -97.1640803 34.6534132, -97.1635748 34.6534022, -97.1633159 34.6534155, -97.1629015 34.653411, -97.1627205 34.6533978, -97.1624818 34.6533923)",Line 9,
"LINESTRING (-97.1615359 34.6512794, -97.1609888 34.6513478, -97.1603504 34.6514151, -97.1598783 34.6514934, -97.159531 34.6515486, -97.1591635 34.6515684, -97.1586982 34.6516335, -97.1582703 34.6516457, -97.1580102 34.6516302, -97.1573168 34.6516346, -97.1565913 34.651628)",Line 10,
"LINESTRING (-97.1580102 34.6516302, -97.1579512 34.6512915, -97.1578747 34.6508811, -97.157809 34.650506, -97.1577473 34.650174, -97.1576749 34.6498066, -97.1576561 34.6496654, -97.1575394 34.6491369, -97.1574871 34.6487121)",Line 11,
"LINESTRING (-97.1598783 34.6514934, -97.1600506 34.6516564, -97.1602625 34.6518803, -97.1604141 34.6516233, -97.1602639 34.6518803, -97.1602411 34.6523702)",Line 12,
"LINESTRING (-97.1558024 34.6509902, -97.1557812 34.6516209, -97.1550677 34.6516132, -97.1542979 34.6516143, -97.1536113 34.6516066, -97.1527852 34.6515934, -97.1521093 34.6516088, -97.1516412 34.6515856, -97.151436 34.6515647, -97.1514387 34.6514312, -97.1514441 34.6512513, -97.1514374 34.6506148, -97.1514749 34.6503081, -97.1514691 34.649822, -97.151339 34.6496311, -97.1512062 34.6492737, -97.1510801 34.6489747, -97.150934 34.6487728, -97.15095 34.6486559, -97.1513323 34.6483161, -97.1516166 34.6480678, -97.1521919 34.6475912, -97.1528544 34.647183, -97.1533439 34.6471797, -97.153816 34.6471653, -97.1542505 34.6471731, -97.1545268 34.6471841)",Line 13,
"LINESTRING (-97.1527852 34.6515934, -97.1525849 34.651453, -97.1525795 34.6507801, -97.1525514 34.6500541, -97.1524374 34.6497353, -97.1522362 34.6489685, -97.1527297 34.648899, -97.1532554 34.6488648, -97.1537208 34.6488814, -97.1541969 34.6488803, -97.1546757 34.6488626, -97.1546395 34.6482669, -97.1546368 34.6480683, -97.1550244 34.6480738, -97.155601 34.648076, -97.1557781 34.6480727, -97.1546381 34.6480683, -97.154276 34.6480683, -97.1538938 34.6480605, -97.1534633 34.6480594, -97.1526975 34.6480627, -97.1523609 34.6480639, -97.1519519 34.6480594, -97.1516247 34.6480484, -97.1510788 34.6480771, -97.150529 34.6480804)",Line 14,
"LINESTRING (-97.1510788 34.6480771, -97.1509173 34.6476459, -97.1508556 34.6472388, -97.1511694 34.6468162, -97.1517032 34.6464731, -97.1526567 34.6456081, -97.1531811 34.6450598, -97.1530631 34.6442587, -97.1530075 34.6433114, -97.1531315 34.6422694, -97.1515946 34.6422308, -97.1512553 34.6423169, -97.1515959 34.6422319, -97.1519728 34.6425684)",Line 15,
"LINESTRING (-97.1550244 34.6480738, -97.1550568 34.6476336, -97.1550809 34.6470908, -97.1550474 34.6466748, -97.15503 34.6463604, -97.1550273 34.6463063, -97.1541301 34.6462776, -97.1539866 34.6462953, -97.1537184 34.6463096)",Line 16,
"LINESTRING (-97.150529 34.6480804, -97.1488961 34.6480947, -97.1491684 34.6482447)",Line 17,
"LINESTRING (-97.1525849 34.651453, -97.1522798 34.651451, -97.1522798 34.6513109)",Line 18,
